source,product_id,title,url,price_azn,old_price_azn,discount_azn,discount_percent,brand,specs,availability,label,monthly_payment_azn,rating,review_count
soliton.az,20250802120652352,LENOVO IP1 15IJL7 CEL-N4500/8/256,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250802120652352-lenovo-ip1-15ijl7-cel-n4500-8-256.html,619.0,,110.0,15%,40,,,,55.17,,
soliton.az,20250609021857347,LENOVO IPS3 15IAN8 I3-N305/8/256,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250609021857347-lenovo-ips3-15ian8-i3-n305-8-256.html,799.0,,100.0,11%,40,,,,71.25,,
soliton.az,20250418025334335,ASUS Zenbook Q415MA,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250418025334335-asus-zenbook-q415ma.html,1799.0,,150.0,8%,36,,,,160.42,,
soliton.az,20250418025055302,ASUS Vivobook 15 X1504VA-NJ1860,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250418025055302-asus-vivobook-15-x1504va-nj1860.html,1319.0,,240.0,15%,36,,,,117.58,,
soliton.az,20250418115607447,HP ENVY x360 14-es1013dx,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250418115607447-hp-envy-x360-14-es1013dx.html,1689.0,,200.0,11%,8,,,,150.58,,
soliton.az,20250418114136097,ACER Aspire Lite 16 52P-31UT,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250418114136097-acer-aspire-lite-16-52p-31ut.html,969.0,,100.0,9%,9,,,,86.42,,
soliton.az,20250122043428576,Lenovo Ideapad 1 15IJL7,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122043428576-lenovo-ideapad-1-15ijl7.html,569.0,,70.0,11%,40,,,,50.75,,
soliton.az,20250122041833012,Lenovo Ideapad 1 15IAU7,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122041833012-lenovo-ideapad-1-15iau7.html,1199.0,,140.0,10%,40,,,,106.92,,
soliton.az,20250122040129456,Lenovo Ideapad Slim 3 15IRU8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122040129456-lenovo-ideapad-slim-3-15iru8.html,849.0,,100.0,11%,40,,,,75.67,,
soliton.az,20250122035217473,Lenovo Ideapad Slim 3 15IRH8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122035217473-lenovo-ideapad-slim-3-15irh8.html,1599.0,,200.0,11%,40,,,,142.58,,
soliton.az,20250122033343186,Acer Aspire Lite 16-52P-32E3,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122033343186-acer-aspire-lite-16-52p-32e3.html,1049.0,,130.0,11%,9,,,,93.5,,
soliton.az,20250122030438263,Acer Aspire A515-57-713N,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250122030438263-acer-aspire-a515-57-713n.html,1599.0,,190.0,11%,9,,,,142.58,,
soliton.az,20250121124143120,Acer Aspire 5 A515-58M-53ES,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121124143120-acer-aspire-5-a515-58m-53es.html,1299.0,,230.0,15%,9,,,,115.83,,
soliton.az,20250121123648939,HP Pavilion 15-eg3148nia,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121123648939-hp-pavilion-15-eg3148nia.html,1659.0,,210.0,11%,8,,,,147.92,,
soliton.az,20250121123323962,Asus Vivobook 15 A1504VA-NJ536,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121123323962-asus-vivobook-15-a1504va-nj536.html,1549.0,,190.0,11%,36,,,,138.08,,
soliton.az,20250121122539295,Asus Vivobook 15 X1504VA-NJ104,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121122539295-asus-vivobook-15-x1504va-nj104.html,1279.0,,230.0,15%,36,,,,114.08,,
soliton.az,20250121121635565,Asus Vivobook E1504GA-WS36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250121121635565-asus-vivobook-e1504ga-ws36.html,929.0,,150.0,14%,36,,,,82.83,,
soliton.az,20241125042904687,LENOVO THINKPAD E16 G1,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125042904687-lenovo-thinkpad-e16-g1.html,2449.0,,200.0,8%,40,,,,218.33,,
soliton.az,20241125041229860,LENOVO V15 G3 - i5/8/512,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125041229860-lenovo-v15-g3-i5-8-512.html,1229.0,,220.0,15%,40,,,,109.58,,
soliton.az,20241125040431322,LENOVO IPS3 15IRU8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125040431322-lenovo-ips3-15iru8.html,849.0,,100.0,11%,40,,,,75.67,,
soliton.az,20241125035852832,LENOVO IP1 15IGL7,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20241125035852832-lenovo-ip1-15igl7.html,539.0,,60.0,10%,40,,,,48.08,,
