product_id,title,brand_id,url,price_azn,credit_price_azn,discount_percent,discount_amount_azn,monthly_6_azn,monthly_12_azn,monthly_18_azn,special_offers,position,data_filters
20251129111401203,ACER NITRO ANV15-51-73B9 i7/16/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251129111401203-acer-nitro-anv15-51-73b9-i7-16-512.html,2599.0,2899.0,10%,300.0,463.5,231.75,172.33,18 AY 0% | Endirimi 12 aya böl,10,3826 3834 3839 3841 3846 3849
20251129110935575,ASUS Vivobook 15 A1504VA-NJ1976 i5/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251129110935575-asus-vivobook-15-a1504va-nj1976-i5-8-512.html,1359.0,1599.0,15%,240.0,242.33,121.17,95.06,18 AY 0% | Endirimi 12 aya böl,11,3825 3832 3839 3841 3846 3849
20251128033554989,ASUS Vivobook 15 A1502VA-NJ1304 i7/16/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128033554989-asus-vivobook-15-a1502va-nj1304-i7-16-512.html,1599.0,1799.0,11%,200.0,285.17,142.58,106.94,18 AY 0% | Endirimi 12 aya böl,12,3826 3834 3839 3841 3846 3849
20251128032954683,LENOVO LOQ 15IAX9E i7/16/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128032954683-lenovo-loq-15iax9e-i7-16-512.html,2749.0,3099.0,11%,350.0,490.17,245.08,184.22,18 AY 0% | Endirimi 12 aya böl,13,3826 3834 3839 3841 3846 3849
20251128032218824,HP VICTUS 15-fa2082wm i5/16/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128032218824-hp-victus-15-fa2082wm-i5-16-512.html,2499.0,2799.0,11%,300.0,445.67,222.83,166.39,18 AY 0% | Endirimi 12 aya böl,14,3825 3834 3839 3841 3846 3849
20251128030610778,HP 15-fd0250wm i5/8/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128030610778-hp-15-fd0250wm-i5-8-512.html,1249.0,1499.0,17%,250.0,222.67,111.33,89.11,18 AY 0% | Endirimi 12 aya böl,15,3825 3832 3839 3841 3846 3849
20251128025732812,HP PROBOOK 450 G10 i7/16/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251128025732812-hp-probook-450-g10-i7-16-512.html,2439.0,2809.0,13%,370.0,435.0,217.5,167.0,18 AY 0% | Endirimi 12 aya böl,16,3826 3834 3839 3841 3846 3849
20250929122751272,HP 250 G10 i5-1334U/8GB/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929122751272-hp-250-g10-i5-1334u-8gb-512.html,1199.0,1439.0,17%,240.0,213.83,106.92,85.56,18 AY 0% | Endirimi 12 aya böl,17,3824 3832 3839 3841 3846 3849
20250929122327033,HP 250 G10 i3-1315U/8GB/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929122327033-hp-250-g10-i3-1315u-8gb-512.html,1099.0,1259.0,13%,160.0,196.0,98.0,74.83,18 AY 0% | Endirimi 12 aya böl,18,3824 3832 3839 3841 3846 3849
20250929122000481,LENOVO V15 G4 IRU i7-13620H/16/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929122000481-lenovo-v15-g4-iru-i7-13620h-16-512.html,1549.0,1739.0,11%,190.0,276.17,138.08,103.39,18 AY 0% | Endirimi 12 aya böl,19,3826 3834 3839 3841 3846 3849
20250929121112676,LENOVO IPS3 15IRH8 i7-13620H/16GB/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929121112676-lenovo-ips3-15irh8-i7-13620h-16gb-512.html,1549.0,1739.0,11%,190.0,276.17,138.08,103.39,18 AY 0% | Endirimi 12 aya böl,20,3826 3834 3839 3841 3846 3849
20250929120050373,ACER A325-53 i5-1334U/16/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929120050373-acer-a325-53-i5-1334u-16-512.html,1399.0,1629.0,14%,230.0,249.5,124.75,96.83,18 AY 0% | Endirimi 12 aya böl,21,3825 3834 3839 3841 3846 3849
20250929115649013,ASUS A1504VA-NJ539 i7-1355U/16/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929115649013-asus-a1504va-nj539-i7-1355u-16-512.html,1579.0,1779.0,11%,200.0,281.67,140.83,105.78,18 AY 0% | Endirimi 12 aya böl,22,3826 3834 3839 3841 3846 3849
20250929115137856,ASUS X1504VA-NJ379  i7-1355U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250929115137856-asus-x1504va-nj379-i7-1355u-8-512.html,1499.0,1679.0,11%,180.0,267.33,133.67,99.83,18 AY 0% | Endirimi 12 aya böl,23,3826 3832 3839 3841 3846 3849
20250804033815532,ACER A325-53 I3-1305U/8/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804033815532-acer-a325-53-i3-1305u-8-512.html,1099.0,1299.0,15%,200.0,196.0,98.0,77.22,18 AY 0% | Endirimi 12 aya böl,24,3824 3832 3839 3841 3846 3849
20250804033126516,LENOVO IP1 15IJL7 CEL-N4500/4/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804033126516-lenovo-ip1-15ijl7-cel-n4500-4-256.html,569.0,669.0,15%,100.0,101.5,50.75,39.78,18 AY 0% | Endirimi 12 aya böl,25,3822 3831 3837 3841 3846 3849
20250804024520125,LENOVO V15 G2 CEL-N4500/4/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804024520125-lenovo-v15-g2-cel-n4500-4-256.html,569.0,669.0,15%,100.0,101.5,50.75,39.78,18 AY 0% | Endirimi 12 aya böl,26,3822 3831 3837 3841 3846 3849
20250804023658807,ASUS M1605Y-MB345 R7-7730U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804023658807-asus-m1605y-mb345-r7-7730u-8-512.html,1499.0,1759.0,15%,260.0,267.33,133.67,104.56,18 AY 0% | Endirimi 12 aya böl,27,3830 3832 3839 3841 3847 3849
20250804023129374,ASUS X1502VA-BQ530 I5-13420H/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804023129374-asus-x1502va-bq530-i5-13420h-8-512.html,1359.0,1599.0,15%,240.0,242.33,121.17,95.06,18 AY 0% | Endirimi 12 aya böl,28,3825 3832 3839 3841 3846 3849
20250804022044730,ASUS X1504VA-BQ-151 I3-1315U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20250804022044730-asus-x1504va-bq-151-i3-1315u-8-512.html,1039.0,1229.0,15%,190.0,185.33,92.67,73.06,18 AY 0% | Endirimi 12 aya böl,29,3824 3832 3839 3841 3846 3849
