product_id,title,url,price_azn,specs
42761,HP 250 G8 (2X7X9EA),https://qiymeti.net/notebook/hp-250-g8-2x7x9ea/,1159.0,"15.6 inç ekran ölçüsü, Intel Core i3 prosessor seriyası, 2 prosessorların sayı, 1.2 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
46790,Macbook Pro 16 (2023) MNWC3RU/A,https://qiymeti.net/notebook/apple-macbook-pro-16-2023-mnwc3/,6049.99,"16.2 inç ekran ölçüsü, Apple M2 prosessor seriyası, 12 prosessorların sayı, 16 GB RAM, 512 GB SSD həcmi"
46089,HP ProBook 440 G8 (3A5G8EA),https://qiymeti.net/notebook/hp-probook-440-g8-3a5g8ea/,1649.99,"14.0 inç ekran ölçüsü, Intel Core i7 prosessor seriyası, 4 prosessorların sayı, 2.8 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
43848,HP Pavilion 14-dv0023ur (4C9W6EA),https://qiymeti.net/notebook/hp-pavilion-14-dv0023ur-4c9w6ea/,1379.0,"14 inç ekran ölçüsü, Intel Core i3 prosessor seriyası, 2 prosessorların sayı, 3.0 GHz prosessor sürəti, 8 GB RAM, 256 GB SSD həcmi"
62906,Huawei MateBook D 16 MCLG-X 53013YDL,https://qiymeti.net/notebook/huawei-matebook-d-16-mclg-x-53013ydl/,1299.99,"16.0 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 8 prosessorların sayı, 2.1 GHz prosessor sürəti, 16 GB RAM, 512 GB SSD həcmi"
49468,Acer Aspire 5 A515-58M-532W (NX.KHEER.002),https://qiymeti.net/notebook/acer-aspire-5-a515-58m-532w-nx-kheer-002/,1189.0,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 10 prosessorların sayı, 1.3 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
50419,Lenovo IdeaPad 3 15IAH7 (82S9013BRK),https://qiymeti.net/notebook/lenovo-ideapad-3-15iah7-82s9013brk/,2349.0,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 8 prosessorların sayı, 1.5 GHz prosessor sürəti, 16 GB RAM, 1 TB SSD həcmi"
43851,HP Pavilion 14-dv0025ur (2W2C3EA),https://qiymeti.net/notebook/hp-pavilion-14-dv0025ur-2w2c3ea/,1369.0,"14 inç ekran ölçüsü, Intel Core i3 prosessor seriyası, 2 prosessorların sayı, 3.0 GHz prosessor sürəti, 8 GB RAM, 256 GB SSD həcmi"
50389,Lenovo IdeaPad 3 15IAU7 (82RK00MERK),https://qiymeti.net/notebook/lenovo-ideapad-3-15iau7-82rk00merk/,1299.0,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 10 prosessorların sayı, 8 GB RAM, 256 GB SSD həcmi"
49861,HP 15s-eq2070ur (4D4A8EA),https://qiymeti.net/notebook/hp-15s-eq2070ur-4d4a8ea/,799.99,"15.6 inç ekran ölçüsü, AMD Ryzen 3 prosessor seriyası, 4 prosessorların sayı, 2.6 GHz prosessor sürəti, 4 GB RAM, 256 GB SSD həcmi"
50359,HP 250 G9 (724N5EA),https://qiymeti.net/notebook/hp-250-g9-724n5ea/,1399.99,"15.6 inç ekran ölçüsü, Intel Core i5 prosessor seriyası, 10 prosessorların sayı, 1.2 GHz prosessor sürəti, 8 GB RAM, 512 GB SSD həcmi"
