product_id,title,url,price_azn,old_price_azn,discount_percent,is_new
749,Noutbuk Acer Swift 3 SF314-55 (NX.H3WER.010),https://notecomp.az/noutbuklar/noutbuk-acer-swift-3-sf314-55-nx.h3wer.010,2043.0,,,False
748,Noutbuk Acer Swift 3 SF314-56-7716 (NX.H4CER.001),https://notecomp.az/noutbuklar/noutbuk-acer-swift-3-sf314-56-7716-nx.h4cer.001,1833.0,,,False
747,Noutbuk Acer Swift 5 SF514-53T Touch (NX.H7KER.001),https://notecomp.az/noutbuklar/acer-swift-5-sf514-53t-touch-nx.h7ker.001,2289.0,,,False
746,Noutbuk Acer Swift 5 SF514-53T-5105 Touch (NX.H7HER.001),https://notecomp.az/noutbuklar/acer-swift-5-sf514-53t-5105-touch-nx.h7her.001,2289.0,,,False
745,Noutbuk Acer Swift 7 SF713-51 Notebook (NX.GK6ER.002),https://notecomp.az/noutbuklar/acer-swift-7-sf713-51-notebook-nx.gk6er.002,1885.0,,,False
744,Noutbuk Lenovo ThinkPad T15 Gen 1 (20S6001XRT),https://notecomp.az/noutbuklar/lenovo-thinkpad-t15-gen-1-20s6001xrt,3070.0,,,False
743,Noutbuk Lenovo ThinkPad T15 Gen 1 (20S6000NRT),https://notecomp.az/noutbuklar/lenovo-thinkpad-t15-gen-1-20s6000nrt,2743.0,,,False
742,Noutbuk Lenovo ThinkPad T15 Gen 1 (20S6000MRT),https://notecomp.az/noutbuklar/lenovo-thinkpad-t15-gen-1-20s6000mrt,2633.0,,,False
741,Noutbuk Lenovo ThinkBook 15 IML (20RW0057RK),https://notecomp.az/noutbuklar/lenovo-thinkbook-15-iml-20rw0057rk,1438.0,,,False
740,Noutbuk Lenovo ThinkBook 15-IML (20RW003WRU),https://notecomp.az/noutbuklar/lenovo-thinkbook-15-iml-20rw003wru,1095.0,,,False
739,Noutbuk Lenovo V110-15IKB (80TL0146RK),https://notecomp.az/noutbuklar/lenovo-v110-15ikb-80tl0146rk,870.0,,,False
738,Noutbuk Lenovo ThinkPad X1 Yoga (3rd Gen) Touch (20LD002HRK),https://notecomp.az/noutbuklar/lenovo-thinkpad-x1-yoga-3rd-gen-touch-20ld002hrk,4112.0,,,False
737,Noutbuk Lenovo ThinkPad X1 Yoga Gen 5 Touch (20UB002WRT),https://notecomp.az/noutbuklar/lenovo-thinkpad-x1-yoga-gen-5-touch-20ub002wrt,4683.0,,,False
736,Noutbuk Lenovo ThinkPad X1 Carbon Gen 8 (20U90003RT),https://notecomp.az/noutbuklar/lenovo-thinkpad-x1-carbon-gen-8-20u90003rt,3912.0,,,False
735,Noutbuk Lenovo ThinkPad T14 Gen 1 Touch (20S0000BRT),https://notecomp.az/noutbuklar/noutbuk-lenovo-thinkpad-t14-gen-1-touch-20s0000brt,3235.0,,,False
734,Noutbuk Lenovo ThinkPad T14 Gen 1 (20S00011RT),https://notecomp.az/noutbuklar/noutbuk-lenovo-thinkpad-t14-gen-1-20s00011rt,2564.0,,,False
733,Noutbuk Lenovo ThinkPad E490 (20N80017RT),https://notecomp.az/noutbuklar/lenovo-thinkpad-e490-20n80017rt,1483.0,,,False
732,Lenovo ThinkBook Plus IML Dual Screen Single-Touch (20TG005ARU),https://notecomp.az/noutbuklar/lenovo-thinkbook-plus-iml-dual-screen-single-touch-20tg005aru,3313.0,,,False
731,ThinkBook Plus IML Dual Screen Single-Touch (20TG001WRU),https://notecomp.az/noutbuklar/lenovo-thinkbook-plus-iml-dual-screen-single-touch-20tg001wru,2199.0,2499.0,-12 %,False
730,Noutbuk Lenovo ThinkPad X380 Yoga Touch (20LH001GRT),https://notecomp.az/noutbuklar/noutbuk-lenovo-thinkpad-x380-yoga-touch-20lh001grt-1,2960.0,,,False
