product_id,title,url,price_azn,old_price_azn,discount_azn,specs
13822,Asus Vivobook S16 M3607HA-SH149 (90NB16F1-M00920) Notebook,https://icomp.az/asus-vivobook-s16-m3607ha-sh149-90nb16f1-m00920-notebook.html,1599.0,1815.0,216.0,"Ryzen 7 260 | 16GB LPDDR5X | 1 TB SSD | Radeon Graphics | 16.0"" WUXGA OLED"
13811,Asus ROG Strix G16 G614PP-S5065 (90NR0L67-M00320) Gaming Notebook,https://icomp.az/asus-rog-strix-g16-g614pp-s5065-90nr0l67-m00320-gaming-notebook.html,3799.0,4312.0,513.0,"Ryzen 9 8940HX | 32GB DDR5 | 1TB SSD | RTX 5070 8GB | 16"" WQXGA IPS 240Hz | Windows 11"
13334,HP 14-ep1003ci (A1WD1EA) Notebook,https://icomp.az/hp-14-ep1003ci-a1wd1ea-notebook.html,999.0,1134.0,135.0,Core 5 120U | 16GB DDR4 | 512GB SSD | Intel Graphics | 14 FHD IPS | FreeDOS
13805,Asus ROG Strix G18 G815JMR-S9094 (90NR0LE1-M004Y0) Gaming Notebook,https://icomp.az/asus-rog-strix-g18-g815jmr-s9094-90nr0le1-m004y0-gaming-notebook.html,3599.0,4085.0,486.0,"i9-14900HX | 16GB DDR5 | 1 TB SSD | RTX 5060 8GB | 18"" WQXGA IPS 240Hz | Windows 11 Pro"
13804,HP Envy 17-da0004ci (A1YJ5EA) Notebook,https://icomp.az/hp-envy-17-da0004ci-a1yj5ea-notebook.html,1899.0,2156.0,257.0,Core™ Ultra 5 125H | DDR5 32GB | 1 TB SSD | 17.3 FHD IPS Touchscreen | Windows 11 PRO
11981,Asus Vivobook S 15 S5506MA-MA083 (90NB14E2-M00840) Notebook,https://icomp.az/asus-vivobook-s-15-s5506ma-ma083-90nb14e2-m00840-notebook.html,1499.0,1702.0,203.0,Ultra 5 125H | 16GB DDR5 | 512G SSD | 15.6’ 2.8K OLED | Windows 11 PRO
13799,Asus TUF Gaming F16 (2025) FX608JPR-RV077 (90NR0NG1-M005H0) Gaming Notebook,https://icomp.az/asus-tuf-gaming-f16-2025-fx608jpr-rv077-90nr0ng1-m005h0-gaming-notebook.html,3199.0,3631.0,432.0,"i7-14650HX | 16GB DDR5 | 1 TB SSD | RTX 5070 8GB | 16"" WUXGA IPS 165Hz | Windows 11 PRO"
13797,Lenovo Legion 5 15IAX10 (83F00008US) Gaming Notebook,https://icomp.az/lenovo-legion-5-15iax10-83f00008us-gaming-notebook.html,3399.0,3858.0,459.0,Ultra 7 255HX | 32GB DDR5 | 1 TB SSD | RTX 5060 8GB | 15.1 WQXGA OLED 165Hz | Windows 11 PRO
13796,Lenovo Legion 5 15IRX10 (83LY0077PS) Gaming Notebook,https://icomp.az/lenovo-legion-5-15irx10-83ly0077ps-gaming-notebook.html,4199.0,4766.0,567.0,i9-14900HX | 32GB DDR5 | 1 TB SSD | RTX 5070 8GB | 15.1 WQXGA OLED 165Hz | Windows 11 PRO
13795,Asus TUF Gaming F16 FX608JHR-RV058 (90NR0NA1-M003J0) Gaming Notebook,https://icomp.az/asus-tuf-gaming-f16-fx608jhr-rv058-90nr0na1-m003j0-gaming-notebook.html,2599.0,2950.0,351.0,"i7-14650HX | 16GB DDR5 | 1 TB SSD | RTX 5050 8GB | 16"" WUXGA IPS 165Hz | Windows 11 PRO"
