product_id,title,url,price_azn,monthly_payment_azn,specs
9841,ASUS ROG Strix Scar 18 G835LX-XS97 (90NR0LF1-M00720) Gaming Laptop,https://compstore.az/asus-rog-strix-scar-18-g835lx-xs97-90nr0lf1-m00720.html,8999.0,572.0,Intel® Core™ Ultra 9 275HX  | DDR5 32 GB 5600 MHz | NVIDIA GeForce® RTX5090 24 GB | SSD 2 TB NVMe | IPS QHD 2.5K 18-inch 240 Hz | Windows 11
9826,HP Envy x360 16-ac0033dx 2-in-1 (9S1R9UA) Laptop,https://compstore.az/hp-envy-x360-16-ac0033dx-2-in-1-9s1r9ua-laptop.html,2055.0,131.0,Intel® Core™ 7-155U | DDR5 32 GB 6400 MHz | İntel İris | SSD 2 TB NVMe | 2.8K IPS 15.6-inch TouchScreen | Windows 11
9825,HP Envy x360 15-fe1082wm (9R1K0UA) Laptop,https://compstore.az/hp-envy-x360-15-fe1082wm-9r1k0ua-laptop.html,1750.0,112.0,Intel® Core™ 7-155U | DDR5 16 GB 5200 MHz | İntel İris | SSD 512 GB NVMe | FHD IPS 15.6-inch TouchScreen | Windows 11
9824,HP Envy x360 14-fc0023dx (9T8G4UA) Laptop,https://compstore.az/hp-envy-x360-14-fc0023dx-9t8g4ua-laptop.html,1768.0,113.0,Intel® Core™ 7-155U | DDR5 16 GB 5200 MHz | İntel İris | SSD 1 TB NVMe | WUGXA IPS 14-inch TouchScreen | Windows 11
9812,Lenovo Legion Y7000 IRX9 (83JJ0000CD),https://compstore.az/lenovo-legion-y7000-irx9-83jj0000cd.html,2149.0,137.0,Intel® Core™ i7-13650HX | DDR5 24 GB 4800 MHz | NVIDIA GeForce® RTX4060 8 GB | SSD 512 TB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9809,Lenovo ThinkBook 16 G7 IML (21MS000NGQ),https://compstore.az/lenovo-thinkbook-16-g7-iml-21ms000ngq.html,1785.0,114.0,Intel® Ultra™ 7-155H | DDR5 8 GB 5600 MHz |  Intel® Arc™ Graphics | SSD 512 GB NVMe™ M.2 | 16-inch  WUXGA IPS | Windows 11
9808,MSI Katana 15 B13VEK-1675US Gaming Laptop,https://compstore.az/msi-katana-15-b13vek-1675us-gaming-laptop.html,2099.0,134.0,Intel® Core™ i7-13620H | DDR5 16 GB 5200 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 1 TB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9807,MSI Thin 15 B13UC-2004CA Gaming Laptop,https://compstore.az/msi-thin-15-b13uc-2004ca-gaming-laptop.html,1750.0,112.0,Intel® Core™ i7-13620H | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX3050 6 GB | SSD 512 GB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9806,MSI Thin 15 B13VF-2829US (9S7-16R831-2829) Gaming Laptop,https://compstore.az/msi-thin-15-b13vf-2829us.html,1698.0,108.0,Intel® Core™ i5-13420H | DDR4 16 GB 3200 MHz | NVIDIA GeForce® RTX4060 8 GB | SSD 512 TB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9802,HP ProBook 460 G11 (A23BKEA) Laptop,https://compstore.az/hp-probook-460-g11-a23bkea-laptop.html,1435.0,92.0,Intel® Ultra™ 5 -125U | DDR5 16 GB 5200 MHz | İntel İris | SSD 512 GB NVMe | WUXGA IPS 16-inch | Windows 11
