product_id,title,url,description,price_azn,old_price_azn,discount_azn,availability
1343,ASUS VivoBook 18 M1807GA-S8007 90NB17Y1-M000K0 (2026),https://aztechshop.az/noutbuklar/asus-vivobook-18-m1807ga-s8007-90nb17y1-m000k0.html,"18"" WUXGA IPS, 144Hz/Ryzen AI 7 445/RAM 32GB DDR5/SSD 1TB G4/AMD Radeon Graphics..",2099.0,,,Əldədir
1033,ASUS ZenBook 14 OLED UM3406KA-QD130 90NB14U1-M007L0,https://aztechshop.az/noutbuklar/asus-zenbook-14-oled-um3406ka-qd130-90nb14u1-m007l0.html,"14"" WUXGA(1920x1200) OLED/Ryzen AI 5 340/RAM 16GB DDR5X/SSD 512GB G4/AMD Radeon Graphics..",2099.0,,,Əldədir
1070,LENOVO IdeaPad Slim 5 16IRH10R 83J1004TRK,https://aztechshop.az/noutbuklar/lenovo-ideapad-slim-5-16irh10r-83j1004trk.html,"16"" 2.8K OLED, 120Hz/Intel 7 240H/RAM 32GB DDR5/SSD 1TB G4/Intel Graphics..",2099.0,,,Əldədir
1254,ASUS ExpertBook B5 B5605CCA-PL0070 90NX08F1-M002H0,https://aztechshop.az/noutbuklar/asus-expertbook-b5-b5605cca-pl0070-90nx08f1-m002h0.html,"16"" WQXGA(2560x1600) IPS, 144Hz, 139% sRGB/Intel Ultra 7 255H/RAM 16GB DDR5/SSD 1TB Gen4/Intel Arc Graphics..",2199.0,,,Əldədir
1034,ASUS ExpertBook P5 P5405CSA-NZ0208 90NX0861-M008A0,https://aztechshop.az/noutbuklar/asus-expertbook-p5-p5405csa-nz0208-90nx0861-m008a0.html,"14"" WQXGA(2560x1600) IPS, 144Hz/Intel Ultra 5 228V/RAM 32GB DDR5X/SSD 1TB G4/Intel Arc 130V..",2199.0,,,Əldədir
1071,LENOVO YOGA 7 2-in-1 14ILL10 83JQ005DRK,https://aztechshop.az/noutbuklar/lenovo-yoga-7-2-in-1-14ill10-83jq005drk.html,"14"" Touch 2.8K OLED, 120Hz/Intel Ultra 5 226V/RAM 16GB DDR5X/SSD 1TB G4/Intel Arc 130V..",2199.0,,,Əldədir
1235,LENOVO LOQ 15AHP10 83JG000VRK,https://aztechshop.az/noutbuklar/lenovo-loq-15ahp10-83jg000vrk-2025.html,"15.6"" FHD IPS, 144Hz/Ryzen 5 220/RAM 16GB DDR5/SSD 512GB G4/RTX 5050 8GB..",2259.0,,,Əldədir
1306,ASUS ExpertBook P3 PM3406CKA-LY0471 90NX0971-M00JE0,https://aztechshop.az/noutbuklar/asus-expertbook-p3-pm3406cka-ly0471-90nx0971-m00je0.html,"14"" FHD+ IPS/Ryzen AI 7 350/RAM 32GB DDR5/SSD 1TB G4/AMD Radeon 860M..",2299.0,,,Əldədir
972,ASUS TUF Gaming A14 FA401UU-RG013 90NR0JD1-M001E0,https://aztechshop.az/noutbuklar/asus-tuf-gaming-a14-fa401uu-rg013-90nr0jd1-m001e0.html,"14"" 2.5K IPS, 165Hz/R7-8845HS/RAM 16GB DDR5X/SSD 512GB G4/RTX 4050 6GB..",2299.0,2499.0,200.0,Əldədir
1145,ASUS TUF Gaming F16 FX607VU-RL112 90NR0N06-M007E0,https://aztechshop.az/noutbuklar/asus-tuf-gaming-f16-fx607vu-rl112-90nr0n06-m007e0.html,"16"" FHD+ IPS, 144Hz/i7-13620H/RAM 16GB DDR5/SSD 1TB G4/RTX 4050 6GB..",2299.0,,,Əldədir
1380,ASUS ZenBook 14 OLED UM3406GA-QD134 90NB17R1-M006M0 (2026),https://aztechshop.az/noutbuklar/asus-zenbook-14-oled-um3406ga-qd134-90nb17r1-m006m0.html,"14"" WUXGA(1920x1200) OLED/Ryzen AI 7 445/RAM 16GB DDR5X/SSD 1TB G4/AMD Radeon Graphics..",2299.0,,,Əldədir
