product_id,product_code,title,url,price_azn,discounted_price_azn,discount_azn,monthly_payment_azn,installment_months,rating,review_count,quantity,is_online
82215,213510,Notbuk HP Victus Gaming 16-r1064ci 16/I5-14450HX/16GB DDR5/512GB SSD/NVIDIA GEFORCE RTX 3050 6GB VRAM/FREEDOS (A9DU8EA),https://www.bakuelectronics.az/mehsul/notebook-hp-victus-16i5-14450hx16gb-ddr5512gb-ssdnvidia-geforce-rtx-3050-6gb-vramfreedos-213510,2399.99,2049.99,350.0,341.66,6,0,0,8,False
82209,213504,Notbuk HP Victus Gaming 15-fa1029ci 15.6/I5-13420H/8GB DDR4/512GB SSD/NVIDIA GEFORCE RTX 3050 (7Z7M8EA) 6GB,https://www.bakuelectronics.az/mehsul/notebook-hp-156i5-13420h8gb-ddr4512gb-ssdnvidia-geforce-rtx-3050-6gb-213504,2299.99,1899.99,400.0,316.66,6,0,0,2,False
82204,213499,Notbuk HP ProBook 440 G10 14/I5-1335U/8GB DDR4/512GB SSD/INTEL UHD GRAPHICS-UMA/FREEDOS (725H8EA),https://www.bakuelectronics.az/mehsul/notbuk-hp-probook-440-g10-14i5-1335u8gb-ddr4512gb-ssdintel-uhd-graphics-umafreedos-725h8ea-213499,2479.99,1999.99,480.0,333.33,6,0,0,1,True
82185,213480,Notbuk HP 15-fd0121ci 15.6/I5-1334U/8GB/512GB SSD/INTEL IRIS XE/FREEDOS (A2LR5EA),https://www.bakuelectronics.az/mehsul/notbuk-hp-15-fd0121ci-156i5-1334u8gb512gb-ssdintel-iris-xefreedos-a2lr5ea-213480,1349.99,1099.99,250.0,183.33,6,0,0,5,False
81684,213154,"Notbuk Lenovo YogaSlim 7/14.5""3KOLED/TOUCH/SNAPDRAGON ELITE X1E-78-100/32GB/1TB SSD/WIN11/BLUE",https://www.bakuelectronics.az/mehsul/notebook-lenovo-yoga-slim-71453koledtouchsnapdragon-elite-x1e-78-10032gb1tb-ssdwin11blue-213154,3999.99,3399.99,600.0,566.66,6,0,0,2,False
81680,213150,"Notbuk Asus VivoBook  15.6"" FHD 60HZ/I7-1355U 1.7 GHZ UP TO 5.0 GHZ 10 CORES/16G/1T/IRIS X GRAPHICS (90NB10J1-M01DD0)",https://www.bakuelectronics.az/mehsul/asus-vivobook-156-fhd-60hzi7-1355u-17-ghz-up-to-50-ghz-10-cores16g1tiris-x-graphics-213150,1899.99,1559.99,340.0,260,6,0,0,1,False
80949,212999,Notbuk HUAWEI MateBook D 14/IPS/I5-13420H/16GB/512GB SSD/SLV (53014BSB),https://www.bakuelectronics.az/mehsul/notebook-huawei-53014bsb-14ipsi5-13420h16gb512gb-ssdfreedosslv-212999,1699.99,1299.99,400.0,216.66,6,0,0,12,False
80947,212997,Notbuk HUAWEI MateBook D 16 /IPS/I5-13420H/16GB/1TB SSD/FREEDOS/GRY (53014BUY),https://www.bakuelectronics.az/mehsul/notebook-huawei-53014buy-16ipsi5-13420h16gb1tb-ssdfreedosgry-212997,1749.99,1399.99,350.0,233.33,6,0,0,21,False
80613,212951,"Notbuk HP 15,6/RYZEN5-7530U/8GB/DDR4/512GB/AMD RADEON/FREEDOS (A5NT9EA)",https://www.bakuelectronics.az/mehsul/notebook-hp-a5nt9ea-156ryzen5-7530u8gbddr4512gbamd-radeonfreedos-212951,1249.99,1049.99,200.0,175,6,0,0,1,False
80609,212947,"Notbuk HP Pavilion 15,6/I7-1335U/8GB/512GB SSD/FREEDOS (8K835EA)",https://www.bakuelectronics.az/mehsul/notebook-hp-8k835ea-156i7-1335u8gb512gb-ssdfreedos-212947,1899.99,1499.99,400.0,250,6,0,0,3,False
80608,212946,"Notbuk HP Pavilion 15,6/I5-1335U/8GB/256GB SSD/IRIS XE/FREEDOS (A0NX9EA)",https://www.bakuelectronics.az/mehsul/notebook-hp-a0nx9ea-156i5-1335u8gb256gb-ssdiris-xefreedos-212946,1599.99,1399.99,200.0,233.33,6,0,0,1,False
80605,212943,"Notbuk HP Pavilion 15,6/IPS/I5-1335U/8GB/DDR4/512GB/FREEDOS/SLV (84J87EA)",https://www.bakuelectronics.az/mehsul/notebook-hp-84j87ea-156ipsi5-1335u8gbddr4512gbfreedosslv-212943,1599.99,1399.99,200.0,233.33,6,0,0,3,False
71246,212188,Notbuk HP Pavilion Laptop 15-EG3058C/CORE I5-1335U/8GB/512GB SSD/15.6 FHD/INTEL IRIS XE/FREEDOS (A0NY1EA),https://www.bakuelectronics.az/mehsul/notebook-hp-pavilion-laptop-15-eg3058ccore-i5-1335u8gb512gb-ssd156-fhdintel-iris-xefreedos-212188,1599.99,1449.99,150.0,241.66,6,0,0,2,False
72042,212187,Notbuk HP Pavilion Laptop 15-EG3042CI/15.6/INTEL CORE I3 1315U/8GB RAM/256GB SSD (8K816EA),https://www.bakuelectronics.az/mehsul/notebook-hp-pavilion-15-eg3042ci156intel-core-i3-1315u8gb-ram256gb-ssd-212187,1249.99,999.99,250.0,166.66,6,0,0,2,False
73545,211583,Notbuk ASUS Vivobook 15.6 FHD IPS/I3-1315U/RAM 8GB/SSD 512GB/INTEL UHD GRAPHICS (90NB10J1-M019S0),https://www.bakuelectronics.az/mehsul/laptop-asus-156-fhd-ipsi3-1315uram-8gbssd-512gbintel-uhd-graphics-211583,1099.99,829.99,270.0,138.33,6,0,0,5,False
73499,211516,Notbuk ACER Aspire 5 A515-58GM/15.6 FHD IPS SLMBZL/INTEL CORE I7-1355U/NVIDIA GEFORCE RTX 2050 (NX.KGZER.004),https://www.bakuelectronics.az/mehsul/notbuk-acer-aspire-5-a515-58gm156-fhd-ips-slmbzlintel-core-i7-1355unvidia-geforce-rtx-2050-nxkgzer004-211516,2399.99,2099.99,300.0,350,6,0,0,7,False
73497,211513,Notbuk Lenovo V15 G4 CI3-1315U/8GB/256GB-SSD/LAN-PORT/15.6 FHD/DOS /BUSINESS BLACK /ENG (83A1004SAK),https://www.bakuelectronics.az/mehsul/notebook-lenova-v15-g4-iryintel-i3-1315uint-uhd-shared8gb256gb-ssd156-fhd-tn-250-nitswin-11-211513,999.99,899.99,100.0,150,6,0,0,4,False
73481,211497,"Notbuk ACER AMD RYZEN 7 5700U,15.6 FHD ACER CMFYW LED LCD,UMA,16 GB DDR4 MMY,512GB (NX.KSJER.007)",https://www.bakuelectronics.az/mehsul/notbuk-acer-amd-ryzen-7-5700u156-fhd-acer-cmfyw-led-lcduma16-gb-ddr4-mmy512gb-nxksjer007-211497,1199.99,999.99,200.0,166.66,6,0,0,2,False
69641,211496,Notbuk ACER INTEL CORE I5-14450HX 1024GB PCIE NVME SED/NVD GFRC RTX 4060 -8G-GDDR6 16GBPS 16IPS,https://www.bakuelectronics.az/mehsul/notbuk-acer-intel-core-i5-14450hx-1024gb-pcie-nvme-sednvd-gfrc-rtx-4060-8g-gddr6-16gbps-16ips-211496,3399.99,2899.99,500.0,483.33,6,0,0,15,False
73480,211495,Notbuk Acer Nitro I7-13620H 16 GB DDR5 MMR-512GB PCIE NVME SSD NVD GFRC (NH.QNBER.002),https://www.bakuelectronics.az/mehsul/notbuk-acer-nitro-i7-13620h-16-gb-ddr5-mmr-512gb-pcie-nvme-ssd-nvd-gfrc-nhqnber002-211495,2749.99,2199.99,550.0,366.66,6,0,0,19,False
