product_id,title,url,price_azn,old_price_azn,discount_percent,discount_azn
988767,Notbuk HP 240R G9 (9C0A6EA),https://birmarket.az/product/988767-notbuk-hp-240r-g9-9c0a6ea,699.0,849.0,-18 %,150.0
601238,Notbuk Apple MacBook Air 13 M1 8GB/256GB Space Gray (MGN63RUA),https://birmarket.az/product/601238-noutbuk-apple-macbook-air-13-m1-8gb-256gb-space-gray-mgn63rua,1298.99,1636.99,-21 %,338.0
870323,"Notbuk Apple MacBook Air 13.6"" M3 2024 8GB/256GB Space Gray",https://birmarket.az/product/870323-notbuk-apple-macbook-air-13-inch-apple-m3-8gb-256gb-space-grey-mrxn3hn-a,1895.98,2363.66,-20 %,467.68
897489,Notbuk HP Pavilion Laptop 15-eg3030ci (A0NX9EA),https://birmarket.az/product/897489-notbuk-hp-pavilion-laptop-15-eg3030ci-a0nx9ea,999.0,1699.0,-41 %,700.0
896674,Notbuk Asus Vivobook X1605VA-MB694 (90NB10N2-M00WF0),https://birmarket.az/product/896674-notbuk-asus-vivobook-x1605va-mb694-90nb10n2-m00wf0,1409.9,1809.9,-22 %,400.0
1710650,Notbuk Lenovo LOQ 15IRX10 83JE002KUS,https://birmarket.az/product/1710650-lenovo-loq-15irx10-83je002kus,1959.0,2299.0,-15 %,340.0
956210,Notbuk HP Laptop 15-fd0113ci (AF6D0EA),https://birmarket.az/product/956210-notbuk-hp-laptop-15-fd0113ci-af6d0ea,1299.0,1650.0,-21 %,351.0
897510,Notbuk Lenovo ThinkBook 14 G6 IRL (21KG004NRU),https://birmarket.az/product/897510-notbuk-lenovo-thinkbook-14-g6-irl-21kg004nru,1819.85,2299.0,-21 %,479.15
1389763,Notbuk Lenovo IdeaPad Slim 5 15ARP10 (83J3005NRK),https://birmarket.az/product/1389763-notbuk-lenovo-ideapad-slim-5-15arp10-83j3005nrk,1279.0,1749.0,-27 %,470.0
995566,Notbuk Asus VivoBook 14 E1404GA-NK053W (90NB0ZW2-M006A0),https://birmarket.az/product/995566-notbuk-asus-vivobook-14-e1404ga-nk053w-90nb0zw2-m006a0,599.0,899.0,-33 %,300.0
1365443,Oyun notbuku Asus ROG Strix G18 G815JPR-S9056 (90NR0LM1-M002T0),https://birmarket.az/product/1365443-oyun-notbuk-asus-rog-strix-g18-g815jpr-s9056-90nr0lm1-m002t0,4379.0,6265.0,-30 %,1886.0
715311,Notbuk HP 250 G10 (8A515EA),https://birmarket.az/product/715311-notbuk-hp-250-g10-8a515ea,1399.0,1549.0,-10 %,150.0
451106,Notbuk Dynabook Satellite PRO C50 (PSY1AE-00T008G6),https://birmarket.az/product/451106-noutbuk-dynabook-satellite-pro-c50-k-psy1ae-00t008g6,799.0,899.0,-11 %,100.0
956202,Notbuk HP Laptop 15-fd0121ci (A2LR5EA),https://birmarket.az/product/956202-notbuk-hp-laptop-15-fd0121ci-a2lr5ea,1049.0,1206.35,-13 %,157.35
1041079,Notbuk Acer Aspire lite AL 16-52P-52JZ (NX.J23EM.003),https://birmarket.az/product/1041079-notbuk-acer-aspire-lite-al-16-52p-52jz-nx-j23em-003,1030.0,1130.0,-9 %,100.0
1342893,Noutbuk Lenovo ThinkPad E14 Gen 7 (21T9003WFW),https://birmarket.az/product/1342893-noutbuk-lenovo-thinkpad-e14-gen-7-14-16gb-512gb-21t9003wfw,1649.0,2399.0,-31 %,750.0
534658,Notbuk HP 250 G10 (725G9EA),https://birmarket.az/product/534658-noutbuk-hp-pb450-g10-725g9ea,1399.99,1600.0,-13 %,200.01
962821,Notbuk Lenovo Yoga 7 2-in-1 16IML9 (83DL0002US),https://birmarket.az/product/962821-notbuk-lenovo-yoga-7-2-in-1-16iml9-83dl0002us,2049.0,2677.0,-23 %,628.0
1389783,Notbuk Lenovo IdeaPad Slim 5 16IRH10R (83J10069RK),https://birmarket.az/product/1389783-notbuk-lenovo-ideapad-slim-5-16irh10r-83j10069rk,1519.0,2199.0,-31 %,680.0
