product_id,title,url,price_azn,old_price_azn,discount_azn,labels,specs
23843,Noutbuk HP Zbook Power 16 G11 (8T0M2EA),https://techbar.az/hp-zbook-power-16-g11,4888.0,5866.0,978.0,Satış,"16"" WUXGA | IPS | Ultra 7 155H | Iris Xe + RTX 2000 Ada | 32GB DDR5 | 1TB SSD |  Silver"
23040,Noutbuk HP Spectre x360 / 14″ (A1AA3EA),https://techbar.az/hp-spectre-x360-14,3297.0,3957.0,660.0,Satış,"14"" 2.8K OLED | Touch | 360° hinge | Intel Core Ultra 5 125H | Intel Arc | 16 GB LPDDR5X | 512 GB SSD | Wi‑Fi 6E | BT 5.3 | Windows 11 Home..."
23023,Noutbuk HP 14-ep0005ci / 14″ (7Y2A2EA),https://techbar.az/hp-laptop-14,1497.0,1797.0,300.0,Satış,"14"" FHD | IPS | 60 Hz | Intel Core i5‑1335U | Intel Iris Xe | 8 GB DDR4 | 512 GB SSD | Wi‑Fi 6 + Bluetooth 5.3 | FreeDOS |..."
23000,Noutbuk HP EliteBook x360 1040 G10 (8A4G4EA),https://techbar.az/hp-elitebook-x360-1040-g10,3849.0,4619.0,770.0,Satış,"14"" WUXGA | IPS Touch | 360° hinge | 250 nits | Intel Core i7-1355U | Intel Iris Xe | 16GB LPDDR5 | 1TB SSD | Wi-Fi 6E | Bluetooth..."
22957,Noutbuk HP 250 G10 (8X9C9EA),https://techbar.az/hp-250g10-15-6-2,1202.0,1443.0,241.0,Satış,15.6″ FHD (1920×1080) | Intel Core i5‑1335U ) | Intel Iris Xe qrafika | 8 GB DDR4 RAM | 256 GB PCIe NVMe SSD |  FreeDOS | Boz
19079,Noutbuk Dell Vostro 5620 (N1401VNB5620EMEA01),https://techbar.az/vostro-5620,2491.0,2990.0,499.0,Satış,"16"" FHD+ | WVA | 60Hz | Intel Core i7-1260P | Intel Iris Xe | 8 GB DDR4 | 256 GB SSD | Wi-Fi 6 | Bluetooth 5.2 |..."
19049,Noutbuk Acer Aspire 3 A315-59-38U6 (NX.K6TER.006),https://techbar.az/noutbuk-acer-aspire-3-nx-k6ter-006,950.0,1140.0,190.0,Satış,"15.6"" FHD IPS | Intel Core i3-1215U | 8GB DDR4 3200 MHz | 512GB PCIe NVMe SSD | Intel UHD Graphics | FreeDOS | Wi-Fi 6 | Bluetooth 5.2..."
12406,Noutbuk HP 250 G10 (725G9EA),https://techbar.az/hp-250g10-15-6-5,1688.0,2026.0,338.0,Satış,"15.6"" FHD | IPS | 250 nit | Intel Core i5-1334U | 16GB DDR4 | 512GB SSD | Intel Iris Xe Graphics | FreeDOS | 1.52 kq | Dark..."
18101,Noutbuk HP Envy x360 / 15″ (81K29EA),https://techbar.az/hp-envy-x360-15-2,2304.0,2765.0,461.0,Satış,"15.6"" FHD | IPS Touch | 360° hinge | 400 nits | Intel Core i5‑1335U | Intel Iris Xe | 8 GB LPDDR5 | 512 GB PCIe NVMe SSD | Wi‑Fi 6E..."
18094,Noutbuk HP Envy x360 / 13″ (827M6EA),https://techbar.az/hp-envy-x360-13-2,2360.0,2832.0,472.0,Satış,"13.3"" WUXGA | IPS | Touchscreen | 360° hinge | 60Hz | Intel Core i5-1230U | Intel Iris Xe | 8GB LPDDR4x | 512GB SSD | Wi-Fi 6E |..."
17959,Noutbuk HP Envy x360 15-fh0003ci (8F919EA),https://techbar.az/noutbuk-hp-envy-x360-laptop-15-fh0003ci-8f919ea,2015.0,2418.0,403.0,Satış,"15.6"" IPS ekran (1920x1080) | HP | Black | AMD Ryzen 5 7530U | 16 GB RAM | 1 TB SSD | AMD Radeon Graphics | FreeDOS"
17824,Noutbuk HP ProBook 450 G10 (816P1EA),https://techbar.az/hp-probook-450-g10-15-6-3,1888.0,2266.0,378.0,Satış,"15.6"" FHD | IPS | 60 Hz | Intel Core i7‑1355U | Intel Iris Xe Graphics | 16 GB DDR4‑3200 | 512 GB PCIe NVMe SSD | Pike Silver"
17823,Noutbuk HP ProBook 450 G10 (85B73EA),https://techbar.az/hp-probook-450-g10-15-6-4,2061.0,2474.0,413.0,Satış,"15.6"" FHD | IPS | 60 Hz | Intel Core i7-1355U | Intel Iris Xe Graphics | 8 GB DDR4‑3200 | 512 GB PCIe NVMe SSD | Wi-Fi 6 | Bluetooth 5.2..."
17822,Noutbuk HP ProBook 450 G9 (6S7D6EA),https://techbar.az/hp-probook-450-g9-15-6,2042.0,2451.0,409.0,Satış,"15.6"" FHD | IPS | 60Hz | i5-1235U | Iris Xe + MX570 2GB | 8GB DDR4 | 512GB SSD | Wi-Fi 6 | BT 5.2 | FreeDOS |..."
17783,Noutbuk HP 250 G10 (725C5EA),https://techbar.az/hp-250g10-15-6,1364.0,1637.0,273.0,Satış,"15.6"" FHD | IPS | 60Hz | Intel Core i5-1335U | Intel Iris Xe | 8GB DDR4 | 256GB SSD | Wi-Fi 5 | Bluetooth 5.0 | FreeDOS |..."
12601,Noutbuk HP ProBook 450 G9 (5Y3T4EA),https://techbar.az/hp-probook-450-g9-15-6-3,1869.0,2243.0,374.0,Satış,"15.6"" HD | Anti-glare | Intel Core i7-1255U | 8GB DDR4 | 512GB SSD | NVIDIA GeForce MX570 2GB | FreeDOS | 1.74 kq | Pike Silver"
11433,Noutbuk HP 250 G10 (725G7EA),https://techbar.az/hp-250g10-15-6-3,1373.0,1648.0,275.0,Satış,"15.6"" FHD | IPS | 250 nit | Intel Core i5-1335U | 16GB DDR4 | 512GB SSD | Intel Iris Xe Graphics | FreeDOS | 1.52 kq | Turbo..."
10689,Noutbuk HP 250 G10 (725H0EA),https://techbar.az/hp-250g10-15,1659.0,1991.0,332.0,Satış,"15.6"" FHD | IPS | Intel Core i7-1355U | 8GB RAM | 512GB SSD | Intel Iris Xe | 1.52 kq | FreeDOS"
